index,name,造成伤害,承受伤害,造成治疗,收到治疗,有效护盾,击杀数,位置,胜利,描述,时间戳
4,monje,539,750,0,75,125,0,0,true,mate,2026-01-02 16:29:49
3,vampiro,812,1010,460,580,0,3,1,true,mate,2026-01-02 16:29:49
13,toad,336,751,0,75,96,0,2,true,mate,2026-01-02 16:29:49
8,ghost,1149,358,0,60,0,4,3,true,mate,2026-01-02 16:29:49
1,sonida,650,506,495,105,0,0,4,true,mate,2026-01-02 16:29:49
12,arqureo,1034,530,0,60,0,1,5,true,mate,2026-01-02 16:29:49
9,pantano,377,840,262,262,98,1,0,false,enemy,2026-01-02 16:29:49
11,guerra,442,808,106,106,122,0,1,false,enemy,2026-01-02 16:29:49
7,Bosque,315,1148,442,442,146,0,2,false,enemy,2026-01-02 16:29:49
14,queen,513,620,0,0,120,1,3,false,enemy,2026-01-02 16:29:49
10,magia,1476,552,0,0,72,0,4,false,enemy,2026-01-02 16:29:49
5,spider,792,552,0,0,72,2,5,false,enemy,2026-01-02 16:29:49

6,capitan,381,776,0,0,146,0,0,true,mate,2026-01-02 16:29:49
13,toad,384,678,0,0,98,0,1,true,mate,2026-01-02 16:29:49
7,Bosque,256,1036,330,330,146,1,2,true,mate,2026-01-02 16:29:49
10,magia,1186,578,0,0,122,2,3,true,mate,2026-01-02 16:29:49
14,queen,631,352,0,0,116,1,4,true,mate,2026-01-02 16:29:49
12,arqureo,959,592,0,0,116,2,5,true,mate,2026-01-02 16:29:49
11,guerra,507,689,109,109,0,1,0,false,enemy,2026-01-02 16:29:49
3,vampiro,450,804,284,284,0,1,1,false,enemy,2026-01-02 16:29:49
9,pantano,509,824,295,295,0,0,2,false,enemy,2026-01-02 16:29:49
8,ghost,923,500,0,0,0,0,3,false,enemy,2026-01-02 16:29:49
2,sniper,971,500,0,0,0,2,4,false,enemy,2026-01-02 16:29:49
5,spider,700,480,0,0,0,1,5,false,enemy,2026-01-02 16:29:49

13,toad,336,705,0,75,50,0,0,false,mate,2026-01-02 16:29:50
