index,name,造成伤害,承受伤害,造成治疗,收到治疗,有效护盾,击杀数,位置,胜利,描述,时间戳
11,guerra,441,752,106,172,0,0,0,false,mate,2025-12-28 15:22:15
4,monje,435,694,0,54,90,0,1,false,mate,2025-12-28 15:22:15
6,capitan,783,726,0,96,0,0,2,false,mate,2025-12-28 15:22:15
2,sniper,879,572,0,72,0,2,3,false,mate,2025-12-28 15:22:15
8,ghost,892,524,0,54,0,0,4,false,mate,2025-12-28 15:22:15
1,sonida,541,532,414,72,0,2,5,false,mate,2025-12-28 15:22:15
9,pantano,461,958,429,429,0,1,0,true,enemy,2025-12-28 15:22:15
7,Bosque,309,931,371,371,0,1,1,true,enemy,2025-12-28 15:22:15
13,toad,244,676,0,0,96,0,2,true,enemy,2025-12-28 15:22:15
5,spider,855,304,0,0,0,1,3,true,enemy,2025-12-28 15:22:15
12,arqureo,1064,463,0,0,0,3,4,true,enemy,2025-12-28 15:22:15
10,magia,877,480,0,0,0,0,5,true,enemy,2025-12-28 15:22:15

11,guerra,704,777,211,211,96,2,0,true,mate,2025-12-28 15:56:20
3,vampiro,437,754,234,234,0,0,1,true,mate,2025-12-28 15:56:20
13,toad,432,580,0,0,0,0,2,true,mate,2025-12-28 15:56:20
8,ghost,644,62,0,0,0,0,3,true,mate,2025-12-28 15:56:20
5,spider,930,173,0,0,0,1,4,true,mate,2025-12-28 15:56:20
2,sniper,802,438,0,0,0,2,5,true,mate,2025-12-28 15:56:20
6,capitan,315,660,0,30,0,0,0,false,enemy,2025-12-28 15:56:20
9,pantano,279,759,228,252,0,1,1,false,enemy,2025-12-28 15:56:20
7,Bosque,378,995,357,435,0,0,2,false,enemy,2025-12-28 15:56:20
1,sonida,400,490,246,30,0,0,3,false,enemy,2025-12-28 15:56:20
12,arqureo,533,549,0,54,0,1,4,false,enemy,2025-12-28 15:56:20
10,magia,1038,505,0,30,0,1,5,false,enemy,2025-12-28 15:56:20

7,Bosque,380,976,416,416,0,0,0,true,mate,2025-12-28 15:56:22
13,toad,344,580,0,0,0,1,1,true,mate,2025-12-28 15:56:22
9,pantano,464,880,295,295,96,0,2,true,mate,2025-12-28 15:56:22
5,spider,914,460,0,0,0,2,3,true,mate,2025-12-28 15:56:22
8,ghost,954,479,0,0,0,5,4,true,mate,2025-12-28 15:56:22
2,sniper,665,500,0,0,0,1,5,true,mate,2025-12-28 15:56:22
3,vampiro,450,854,232,334,0,0,0,false,enemy,2025-12-28 15:56:22
4,monje,383,640,0,30,50,0,1,false,enemy,2025-12-28 15:56:22
11,guerra,518,733,99,153,0,1,2,false,enemy,2025-12-28 15:56:22
1,sonida,500,472,300,42,0,0,3,false,enemy,2025-12-28 15:56:22
10,magia,1020,492,0,42,0,1,4,false,enemy,2025-12-28 15:56:22
12,arqureo,1150,530,0,30,0,3,5,false,enemy,2025-12-28 15:56:22

3,vampiro,250,575,55,55,0,0,0,false,mate,2025-12-28 15:56:23
9,pantano,340,787,295,295,0,1,1,false,mate,2025-12-28 15:56:23
11,guerra,351,679,99,99,0,0,2,false,mate,2025-12-28 15:56:23
12,arqureo,1140,500,0,0,0,1,3,false,mate,2025-12-28 15:56:23
5,spider,728,460,0,0,0,1,4,false,mate,2025-12-28 15:56:23
10,magia,906,480,0,0,0,1,5,false,mate,2025-12-28 15:56:23
4,monje,383,718,0,78,80,0,0,true,enemy,2025-12-28 15:56:23
6,capitan,447,780,0,54,96,0,1,true,enemy,2025-12-28 15:56:23
13,toad,576,687,0,120,0,0,2,true,enemy,2025-12-28 15:56:23
2,sniper,751,638,0,72,96,3,3,true,enemy,2025-12-28 15:56:23
1,sonida,554,350,444,60,0,1,4,true,enemy,2025-12-28 15:56:23
8,ghost,751,350,0,60,0,2,5,true,enemy,2025-12-28 15:56:23

3,vampiro,547,805,285,285,0,0,0,true,mate,2025-12-28 15:56:24
7,Bosque,252,919,359,359,0,0,1,true,mate,2025-12-28 15:56:24
13,toad,268,676,0,0,96,1,2,true,mate,2025-12-28 15:56:24
2,sniper,886,172,0,0,0,1,3,true,mate,2025-12-28 15:56:24
10,magia,1099,138,0,0,0,1,4,true,mate,2025-12-28 15:56:24
8,ghost,846,249,0,0,0,2,5,true,mate,2025-12-28 15:56:24
9,pantano,475,943,362,428,0,1,0,false,enemy,2025-12-28 15:56:24
6,capitan,439,684,0,54,0,1,1,false,enemy,2025-12-28 15:56:24
11,guerra,359,744,98,164,0,0,2,false,enemy,2025-12-28 15:56:24
1,sonida,547,524,342,72,0,1,3,false,enemy,2025-12-28 15:56:24
12,arqureo,606,542,0,42,0,0,4,false,enemy,2025-12-28 15:56:24
5,spider,693,494,0,42,0,1,5,false,enemy,2025-12-28 15:56:24

6,capitan,631,661,0,0,31,1,0,true,mate,2025-12-28 15:56:25
9,pantano,373,776,295,295,0,1,1,true,mate,2025-12-28 15:56:25
13,toad,240,580,0,0,0,0,2,true,mate,2025-12-28 15:56:25
5,spider,798,170,0,0,0,2,3,true,mate,2025-12-28 15:56:25
12,arqureo,902,162,0,0,0,2,4,true,mate,2025-12-28 15:56:25
8,ghost,602,500,0,0,0,1,5,true,mate,2025-12-28 15:56:25
3,vampiro,200,607,51,87,0,0,0,false,enemy,2025-12-28 15:56:25
4,monje,383,694,0,54,80,0,1,false,enemy,2025-12-28 15:56:25
11,guerra,569,721,99,141,0,0,2,false,enemy,2025-12-28 15:56:25
2,sniper,562,542,0,42,0,0,3,false,enemy,2025-12-28 15:56:25
1,sonida,366,502,246,42,0,1,4,false,enemy,2025-12-28 15:56:25
10,magia,910,480,0,30,0,3,5,false,enemy,2025-12-28 15:56:25

9,pantano,614,946,449,479,0,0,0,false,mate,2025-12-28 15:56:26
6,capitan,381,804,0,78,96,0,1,false,mate,2025-12-28 15:56:26
13,toad,240,610,0,30,0,0,2,false,mate,2025-12-28 15:56:26
5,spider,893,538,0,78,0,1,3,false,mate,2025-12-28 15:56:26
2,sniper,746,530,0,30,0,3,4,false,mate,2025-12-28 15:56:26
1,sonida,500,514,300,54,0,0,5,false,mate,2025-12-28 15:56:26
7,Bosque,294,896,336,336,0,0,0,true,enemy,2025-12-28 15:56:26
4,monje,357,630,0,0,80,0,1,true,enemy,2025-12-28 15:56:26
11,guerra,523,679,99,99,0,0,2,true,enemy,2025-12-28 15:56:26
10,magia,1061,480,0,0,0,0,3,true,enemy,2025-12-28 15:56:26
12,arqureo,905,377,0,0,0,3,4,true,enemy,2025-12-28 15:56:26
8,ghost,882,302,0,0,0,5,5,true,enemy,2025-12-28 15:56:26

6,capitan,315,696,0,66,0,0,0,false,mate,2025-12-28 15:56:27
9,pantano,552,1102,590,632,0,0,1,false,mate,2025-12-28 15:56:27
4,monje,383,682,0,42,80,0,2,false,mate,2025-12-28 15:56:27
1,sonida,426,472,288,42,0,1,3,false,mate,2025-12-28 15:56:27
5,spider,621,526,0,66,0,1,4,false,mate,2025-12-28 15:56:27
8,ghost,892,500,0,30,0,0,5,false,mate,2025-12-28 15:56:27
11,guerra,443,685,105,105,0,0,0,true,enemy,2025-12-28 15:56:27
13,toad,288,673,0,0,96,0,1,true,enemy,2025-12-28 15:56:27
7,Bosque,420,989,560,560,0,0,2,true,enemy,2025-12-28 15:56:27
12,arqureo,850,214,0,0,0,1,3,true,enemy,2025-12-28 15:56:27
10,magia,1185,432,0,0,0,2,4,true,enemy,2025-12-28 15:56:27
2,sniper,792,100,0,0,0,3,5,true,enemy,2025-12-28 15:56:27

13,toad,311,580,0,0,0,0,0,true,mate,2025-12-28 15:56:28
6,capitan,381,630,0,0,0,0,1,true,mate,2025-12-28 15:56:28
7,Bosque,504,879,519,519,96,0,2,true,mate,2025-12-28 15:56:28
5,spider,958,295,0,0,0,2,3,true,mate,2025-12-28 15:56:28
2,sniper,721,500,0,0,0,1,4,true,mate,2025-12-28 15:56:28
12,arqureo,974,500,0,0,0,2,5,true,mate,2025-12-28 15:56:28
9,pantano,301,738,228,240,0,1,0,false,enemy,2025-12-28 15:56:28
3,vampiro,612,959,337,439,0,0,1,false,enemy,2025-12-28 15:56:28
11,guerra,374,713,103,133,0,0,2,false,enemy,2025-12-28 15:56:28
1,sonida,400,502,246,42,0,0,3,false,enemy,2025-12-28 15:56:28
8,ghost,941,500,0,30,0,7,4,false,enemy,2025-12-28 15:56:28
10,magia,917,480,0,30,0,0,5,false,enemy,2025-12-28 15:56:28

7,Bosque,269,881,321,321,0,0,0,true,mate,2025-12-28 15:56:29
3,vampiro,650,821,301,301,0,0,1,true,mate,2025-12-28 15:56:29
13,toad,240,580,0,0,96,0,2,true,mate,2025-12-28 15:56:29
8,ghost,910,254,0,0,0,3,3,true,mate,2025-12-28 15:56:29
12,arqureo,966,192,0,0,0,5,4,true,mate,2025-12-28 15:56:29
10,magia,827,480,0,0,0,0,5,true,mate,2025-12-28 15:56:29
4,monje,435,674,0,54,60,0,0,false,enemy,2025-12-28 15:56:29
9,pantano,488,879,295,337,0,0,1,false,enemy,2025-12-28 15:56:29
6,capitan,645,708,0,78,0,0,2,false,enemy,2025-12-28 15:56:29
1,sonida,500,520,360,60,0,0,3,false,enemy,2025-12-28 15:56:29
2,sniper,546,537,0,42,0,2,4,false,enemy,2025-12-28 15:56:29
5,spider,808,544,0,84,0,2,5,false,enemy,2025-12-28 15:56:29

6,capitan,645,555,0,0,0,0,0,true,mate,2025-12-28 15:56:30
7,Bosque,336,886,326,326,0,0,1,true,mate,2025-12-28 15:56:30
4,monje,445,650,0,0,100,0,2,true,mate,2025-12-28 15:56:30
5,spider,832,392,0,0,0,1,3,true,mate,2025-12-28 15:56:30
2,sniper,841,260,0,0,0,2,4,true,mate,2025-12-28 15:56:30
12,arqureo,800,250,0,0,0,2,5,true,mate,2025-12-28 15:56:30
3,vampiro,200,618,50,98,0,0,0,false,enemy,2025-12-28 15:56:30
9,pantano,489,920,362,404,0,1,1,false,enemy,2025-12-28 15:56:30
13,toad,240,688,0,12,96,0,2,false,enemy,2025-12-28 15:56:30
10,magia,827,522,0,42,0,0,3,false,enemy,2025-12-28 15:56:30
8,ghost,868,500,0,30,0,1,4,false,enemy,2025-12-28 15:56:30
1,sonida,414,514,228,54,0,1,5,false,enemy,2025-12-28 15:56:30

7,Bosque,232,848,288,288,0,0,0,true,mate,2025-12-28 15:56:31
3,vampiro,575,798,278,278,0,0,1,true,mate,2025-12-28 15:56:31
6,capitan,315,630,0,0,0,0,2,true,mate,2025-12-28 15:56:31
10,magia,1034,442,0,0,0,2,3,true,mate,2025-12-28 15:56:31
8,ghost,808,0,0,0,0,1,4,true,mate,2025-12-28 15:56:31
12,arqureo,759,322,0,0,0,3,5,true,mate,2025-12-28 15:56:31
4,monje,662,754,0,54,140,0,0,false,enemy,2025-12-28 15:56:31
13,toad,288,718,0,42,96,0,1,false,enemy,2025-12-28 15:56:31
11,guerra,300,628,0,48,0,0,2,false,enemy,2025-12-28 15:56:31
1,sonida,411,514,258,54,0,1,3,false,enemy,2025-12-28 15:56:31
2,sniper,727,530,0,30,0,1,4,false,enemy,2025-12-28 15:56:31
5,spider,652,490,0,30,0,1,5,false,enemy,2025-12-28 15:56:31

9,pantano,415,800,295,295,0,0,0,true,mate,2025-12-28 15:56:32
3,vampiro,631,897,377,377,0,0,1,true,mate,2025-12-28 15:56:32
7,Bosque,504,1127,662,662,0,0,2,true,mate,2025-12-28 15:56:32
8,ghost,810,500,0,0,0,0,3,true,mate,2025-12-28 15:56:32
5,spider,683,143,0,0,0,4,4,true,mate,2025-12-28 15:56:32
2,sniper,796,500,0,0,0,2,5,true,mate,2025-12-28 15:56:32
6,capitan,387,672,0,42,0,1,0,false,enemy,2025-12-28 15:56:32
13,toad,288,754,0,78,96,0,1,false,enemy,2025-12-28 15:56:32
4,monje,539,726,0,66,110,0,2,false,enemy,2025-12-28 15:56:32
12,arqureo,919,530,0,30,0,2,3,false,enemy,2025-12-28 15:56:32
1,sonida,450,502,288,42,0,0,4,false,enemy,2025-12-28 15:56:32
10,magia,1384,502,0,30,0,1,5,false,enemy,2025-12-28 15:56:32

4,monje,525,660,0,0,110,1,0,true,mate,2025-12-28 15:56:33
13,toad,288,580,0,0,0,0,1,true,mate,2025-12-28 15:56:33
11,guerra,531,747,105,105,62,0,2,true,mate,2025-12-28 15:56:33
8,ghost,927,500,0,0,0,1,3,true,mate,2025-12-28 15:56:33
12,arqureo,927,500,0,0,0,1,4,true,mate,2025-12-28 15:56:33
2,sniper,859,411,0,0,0,3,5,true,mate,2025-12-28 15:56:33
9,pantano,332,840,295,337,0,0,0,false,enemy,2025-12-28 15:56:33
7,Bosque,308,1013,363,453,0,1,1,false,enemy,2025-12-28 15:56:33
6,capitan,315,642,0,12,0,0,2,false,enemy,2025-12-28 15:56:33
10,magia,1416,532,0,60,0,2,3,false,enemy,2025-12-28 15:56:33
5,spider,678,482,0,30,0,1,4,false,enemy,2025-12-28 15:56:33
1,sonida,470,548,330,96,0,1,5,false,enemy,2025-12-28 15:56:33

3,vampiro,250,643,63,123,0,0,0,false,mate,2025-12-28 15:56:34
9,pantano,284,742,248,290,0,0,1,false,mate,2025-12-28 15:56:34
7,Bosque,294,919,317,359,0,0,2,false,mate,2025-12-28 15:56:34
1,sonida,325,460,234,30,0,0,3,false,mate,2025-12-28 15:56:34
2,sniper,648,500,0,30,0,2,4,false,mate,2025-12-28 15:56:34
10,magia,1198,480,0,30,0,2,5,false,mate,2025-12-28 15:56:34
6,capitan,471,721,0,0,91,0,0,true,enemy,2025-12-28 15:56:34
