index,name,造成伤害,承受伤害,造成治疗,收到治疗,有效护盾,击杀数,位置,胜利,描述,时间戳
6,capitan,824,503,160,160,48,4,0,true,mate,2026-01-13 23:45:10
13,toad,370,731,0,0,151,0,1,true,mate,2026-01-13 23:45:10
3,vampiro,497,1027,277,277,210,0,2,true,mate,2026-01-13 23:45:10
5,spider,1162,410,0,0,75,2,3,true,mate,2026-01-13 23:45:10
8,ghost,1126,335,0,0,62,0,4,true,mate,2026-01-13 23:45:10
14,queen,450,627,0,0,140,0,5,true,mate,2026-01-13 23:45:10
9,pantano,300,854,288,316,0,0,0,false,enemy,2026-01-13 23:45:10
7,Bosque,336,1037,335,477,0,0,1,false,enemy,2026-01-13 23:45:10
16,shield,666,761,0,61,100,0,2,false,enemy,2026-01-13 23:45:10
15,assassin,447,547,0,47,0,1,3,false,enemy,2026-01-13 23:45:10
1,sonida,388,540,371,80,0,1,4,false,enemy,2026-01-13 23:45:10
10,magia,1509,546,0,66,0,1,5,false,enemy,2026-01-13 23:45:10

6,capitan,788,684,160,160,54,1,0,true,mate,2026-01-13 23:45:11
13,toad,250,624,0,0,44,0,1,true,mate,2026-01-13 23:45:11
3,vampiro,487,871,269,269,62,0,2,true,mate,2026-01-13 23:45:11
5,spider,1005,182,0,0,54,3,3,true,mate,2026-01-13 23:45:11
8,ghost,864,562,0,0,62,2,4,true,mate,2026-01-13 23:45:11
14,queen,450,597,0,0,102,0,5,true,mate,2026-01-13 23:45:11
9,pantano,300,826,288,288,0,0,0,false,enemy,2026-01-13 23:45:11
6,capitan,373,710,80,80,0,0,1,false,enemy,2026-01-13 23:45:11
16,shield,572,700,0,0,100,0,2,false,enemy,2026-01-13 23:45:11
2,sniper,419,500,0,0,0,1,3,false,enemy,2026-01-13 23:45:11
5,spider,732,480,0,0,0,2,4,false,enemy,2026-01-13 23:45:11
8,ghost,1124,500,0,0,0,0,5,false,enemy,2026-01-13 23:45:11

6,capitan,830,803,160,160,13,3,0,true,mate,2026-01-13 23:45:12
13,toad,370,850,0,0,270,0,1,true,mate,2026-01-13 23:45:12
3,vampiro,354,755,163,163,52,0,2,true,mate,2026-01-13 23:45:12
5,spider,1178,348,0,0,0,3,3,true,mate,2026-01-13 23:45:12
8,ghost,1271,201,0,0,0,0,4,true,mate,2026-01-13 23:45:12
14,queen,405,614,0,0,114,0,5,true,mate,2026-01-13 23:45:12
11,guerra,303,699,75,103,0,0,0,false,enemy,2026-01-13 23:45:12
7,Bosque,336,1009,355,449,0,0,1,false,enemy,2026-01-13 23:45:12
3,vampiro,701,1047,372,508,0,0,2,false,enemy,2026-01-13 23:45:12
15,assassin,440,561,0,61,0,0,3,false,enemy,2026-01-13 23:45:12
1,sonida,446,540,418,80,0,1,4,false,enemy,2026-01-13 23:45:12
12,arqureo,1345,552,0,66,0,3,5,false,enemy,2026-01-13 23:45:12

6,capitan,346,772,80,80,62,0,0,false,mate,2026-01-13 23:45:12
13,toad,350,778,0,0,198,0,1,false,mate,2026-01-13 23:45:12
3,vampiro,516,917,289,289,88,0,2,false,mate,2026-01-13 23:45:12
5,spider,833,507,0,0,27,1,3,false,mate,2026-01-13 23:45:12
8,ghost,1181,548,0,0,48,3,4,false,mate,2026-01-13 23:45:12
14,queen,360,588,0,0,88,0,5,false,mate,2026-01-13 23:45:12
3,vampiro,476,960,303,420,0,0,0,true,enemy,2026-01-13 23:45:12
11,guerra,367,683,72,105,0,0,1,true,enemy,2026-01-13 23:45:12
4,monje,781,794,0,122,209,3,2,true,enemy,2026-01-13 23:45:12
1,sonida,456,430,484,80,0,0,3,true,enemy,2026-01-13 23:45:12
10,magia,1205,546,0,66,0,1,4,true,enemy,2026-01-13 23:45:12
8,ghost,825,173,0,66,0,4,5,true,enemy,2026-01-13 23:45:12

3,vampiro,516,887,286,347,0,0,0,true,mate,2026-01-13 23:45:13
11,guerra,440,628,65,93,0,0,1,true,mate,2026-01-13 23:45:13
4,monje,398,774,0,61,152,1,2,true,mate,2026-01-13 23:45:13
1,sonida,458,488,305,61,0,1,3,true,mate,2026-01-13 23:45:13
10,magia,1133,174,0,33,0,3,4,true,mate,2026-01-13 23:45:13
8,ghost,734,528,0,61,0,1,5,true,mate,2026-01-13 23:45:13
4,monje,340,751,0,0,190,0,0,false,enemy,2026-01-13 23:45:13
16,shield,394,650,0,0,50,1,1,false,enemy,2026-01-13 23:45:13
11,guerra,368,655,72,72,0,0,2,false,enemy,2026-01-13 23:45:13
8,ghost,853,500,0,0,0,4,3,false,enemy,2026-01-13 23:45:13
2,sniper,745,500,0,0,0,1,4,false,enemy,2026-01-13 23:45:13
12,arqureo,798,500,0,0,0,1,5,false,enemy,2026-01-13 23:45:13

3,vampiro,654,981,324,441,0,0,0,true,mate,2026-01-13 23:45:14
11,guerra,371,661,65,126,0,0,1,true,mate,2026-01-13 23:45:14
4,monje,318,798,0,47,171,0,2,true,mate,2026-01-13 23:45:14
1,sonida,725,389,554,113,0,2,3,true,mate,2026-01-13 23:45:14
10,magia,1723,574,0,94,0,0,4,true,mate,2026-01-13 23:45:14
8,ghost,1544,622,0,122,0,5,5,true,mate,2026-01-13 23:45:14
4,monje,340,970,0,47,343,0,0,false,enemy,2026-01-13 23:45:14
13,toad,700,1188,0,178,430,0,1,false,enemy,2026-01-13 23:45:14
3,vampiro,564,1015,302,335,140,0,2,false,enemy,2026-01-13 23:45:14
14,queen,471,742,0,66,176,0,3,false,enemy,2026-01-13 23:45:14
2,sniper,1433,743,0,80,163,4,4,false,enemy,2026-01-13 23:45:14
1,sonida,517,677,484,80,137,1,5,false,enemy,2026-01-13 23:45:14

3,vampiro,492,913,284,373,0,0,0,false,mate,2026-01-13 23:45:15
11,guerra,436,647,65,112,0,0,1,false,mate,2026-01-13 23:45:15
4,monje,759,926,0,61,285,0,2,false,mate,2026-01-13 23:45:15
1,sonida,408,474,324,47,0,0,3,false,mate,2026-01-13 23:45:15
10,magia,672,527,0,47,0,0,4,false,mate,2026-01-13 23:45:15
8,ghost,987,500,0,33,0,4,5,false,mate,2026-01-13 23:45:15
6,capitan,346,710,80,80,0,0,0,true,enemy,2026-01-13 23:45:15
7,Bosque,550,1186,711,796,0,0,1,true,enemy,2026-01-13 23:45:15
4,monje,352,713,0,0,133,0,2,true,enemy,2026-01-13 23:45:15
8,ghost,880,318,0,0,0,4,3,true,enemy,2026-01-13 23:45:15
10,magia,1394,327,0,0,0,2,4,true,enemy,2026-01-13 23:45:15
15,assassin,465,500,0,0,0,1,5,true,enemy,2026-01-13 23:45:15

6,capitan,355,630,0,0,0,0,0,true,mate,2026-01-13 23:45:15
7,Bosque,431,954,654,735,0,2,1,true,mate,2026-01-13 23:45:15
4,monje,462,742,0,0,162,0,2,true,mate,2026-01-13 23:45:15
8,ghost,745,500,0,0,0,0,3,true,mate,2026-01-13 23:45:15
10,magia,1095,119,0,0,0,3,4,true,mate,2026-01-13 23:45:15
15,assassin,560,500,0,0,0,1,5,true,mate,2026-01-13 23:45:15
7,Bosque,250,701,127,141,0,0,0,false,enemy,2026-01-13 23:45:15
11,guerra,431,650,72,72,0,0,1,false,enemy,2026-01-13 23:45:15
3,vampiro,574,817,277,277,0,0,2,false,enemy,2026-01-13 23:45:15
5,spider,761,480,0,0,0,2,3,false,enemy,2026-01-13 23:45:15
2,sniper,452,500,0,0,0,1,4,false,enemy,2026-01-13 23:45:15
8,ghost,977,500,0,0,0,1,5,false,enemy,2026-01-13 23:45:15

6,capitan,454,710,80,80,0,1,0,false,mate,2026-01-13 23:45:16
7,Bosque,453,858,263,298,0,1,1,false,mate,2026-01-13 23:45:16
4,monje,352,713,0,0,133,0,2,false,mate,2026-01-13 23:45:16
8,ghost,667,500,0,0,0,0,3,false,mate,2026-01-13 23:45:16
10,magia,1247,480,0,0,0,0,4,false,mate,2026-01-13 23:45:16
15,assassin,401,500,0,0,0,1,5,false,mate,2026-01-13 23:45:16
13,toad,275,904,58,58,266,0,0,true,enemy,2026-01-13 23:45:16
3,vampiro,354,715,175,175,0,0,1,true,enemy,2026-01-13 23:45:16
7,Bosque,549,831,507,570,0,2,2,true,enemy,2026-01-13 23:45:16
10,magia,1146,317,0,0,0,1,3,true,enemy,2026-01-13 23:45:16
15,assassin,429,500,0,0,0,2,4,true,enemy,2026-01-13 23:45:16
12,arqureo,1008,307,0,0,0,1,5,true,enemy,2026-01-13 23:45:16

13,toad,300,756,58,58,118,0,0,true,mate,2026-01-13 23:45:16
3,vampiro,306,687,147,147,0,0,1,true,mate,2026-01-13 23:45:16
7,Bosque,500,841,464,519,0,0,2,true,mate,2026-01-13 23:45:16
10,magia,1174,360,0,0,0,2,3,true,mate,2026-01-13 23:45:16
15,assassin,440,500,0,0,0,2,4,true,mate,2026-01-13 23:45:16
12,arqureo,988,199,0,0,0,2,5,true,mate,2026-01-13 23:45:16
4,monje,435,739,0,0,178,1,0,false,enemy,2026-01-13 23:45:16
16,shield,773,700,0,0,100,0,1,false,enemy,2026-01-13 23:45:16
6,capitan,355,630,0,0,0,0,2,false,enemy,2026-01-13 23:45:16
10,magia,663,480,0,0,0,0,3,false,enemy,2026-01-13 23:45:16
5,spider,751,480,0,0,0,1,4,false,enemy,2026-01-13 23:45:16
15,assassin,366,500,0,0,0,1,5,false,enemy,2026-01-13 23:45:16

